rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
1,Harvard University,USA,1,3,1,1,1,100,harvard.edu
2,Massachusetts Institute of Technology,USA,2,4,11,2,7,96.7,mit.edu
3,Stanford University,USA,3,10,4,3,2,95.2,stanford.edu
4,University of Cambridge,United Kingdom,1,1,21,4,11,94.1,cam.ac.uk
5,University of Oxford,United Kingdom,2,7,26,9,4,93.3,ox.ac.uk
6,Columbia University,USA,4,11,14,10,15,92.6,columbia.edu
7,Princeton University,USA,5,6,15,7,71,92,princeton.edu
8,University of Pennsylvania,USA,6,14,9,43,12,91.6,upenn.edu
9,University of Chicago,USA,7,8,18,29,22,91.1,uchicago.edu
10,Yale University,USA,8,5,35,11,20,90.7,yale.edu
11,California Institute of Technology,USA,9,2,128,5,74,90.4,caltech.edu
12,"University of California, Berkeley",USA,10,9,57,8,14,90.1,berkeley.edu
13,Cornell University,USA,11,13,28,17,24,89.8,cornell.edu
14,University of Tokyo,Japan,1,37,7,105,27,89.5,u-tokyo.ac.jp
15,Johns Hopkins University,USA,12,20,188,22,6,89.3,jhu.edu
16,"University of Michigan, Ann Arbor",USA,13,32,37,82,5,89,umich.edu
17,Northwestern University,USA,14,139,17,46,29,88.8,northwestern.edu
18,"University of California, Los Angeles",USA,15,49,63,19,10,88.6,ucla.edu
19,University College London,United Kingdom,3,33,666,14,8,88.4,ucl.ac.uk
20,Duke University,USA,16,61,51,16,21,88.2,duke.edu
21,PSL University,France,1,16,27,100,121,88,psl.eu
22,University of Illinois at Urbana–Champaign,USA,17,23,133,12,61,87.8,illinois.edu
23,University of Washington - Seattle,USA,18,60,216,23,9,87.7,washington.edu
24,University of Toronto,Canada,1,225,159,21,3,87.5,utoronto.ca
25,New York University,USA,19,43,42,40,45,87.3,nyu.edu
26,University of Wisconsin–Madison,USA,20,34,93,34,31,87.2,wisc.edu
27,McGill University,Canada,2,25,100,36,43,87.1,mcgill.ca
28,Kyoto University,Japan,2,47,34,60,65,86.9,kyoto-u.ac.jp
29,ETH Zurich,Switzerland,1,48,92,20,40,86.8,ethz.ch
30,Imperial College London,United Kingdom,4,59,103,51,17,86.7,imperial.ac.uk
31,Seoul National University,South Korea,1,317,22,134,60,86.5,snu.ac.kr
32,Paris-Saclay University,France,2,195,138,44,13,86.4,universite-paris-saclay.fr
33,University of Texas at Austin,USA,21,79,65,15,55,86.3,utexas.edu
34,University of California San Diego,USA,22,116,-,13,18,86.2,ucsd.edu
35,Institut Polytechnique de Paris,France,3,87,6,214,304,86.1,ip-paris.fr
36,Dartmouth College,USA,23,54,16,93,263,85.9,dartmouth.edu
37,"University of California, San Francisco",USA,24,-,-,18,23,85.8,ucsf.edu
38,University of Copenhagen,Denmark,1,85,360,41,25,85.7,ku.dk
39,Karolinska Institute,Sweden,1,38,-,31,53,85.6,ki.se
40,University of North Carolina at Chapel Hill,USA,25,83,105,75,33,85.5,unc.edu
41,Rockefeller University,USA,26,12,-,6,398,85.4,rockefeller.edu
42,Sorbonne University,France,4,94,355,89,16,85.3,sorbonne-universite.fr
43,University of Paris,France,5,259,914,53,19,85.2,u-paris.fr
44,University of Edinburgh,United Kingdom,5,46,365,58,48,85.2,ed.ac.uk
45,King's College London,United Kingdom,6,62,362,28,59,85.1,kcl.ac.uk
46,Washington University in St. Louis,USA,27,115,186,32,44,85,wustl.edu
47,University of Minnesota - Twin Cities,USA,28,74,308,120,28,84.9,twin-cities.umn.edu
48,University of British Columbia,Canada,3,99,652,83,30,84.8,ubc.ca
49,Ludwig Maximilian University of Munich,Germany,1,72,266,66,47,84.7,uni-muenchen.de
